
2025/03/21 (00:11:13) | ===> btop++ v.1.4.0
2025/03/21 (00:11:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:11:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:11:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (00:11:31) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (00:13:03) | ===> btop++ v.1.4.0
2025/03/21 (00:13:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:13:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:31:08) | ===> btop++ v.1.4.0
2025/03/21 (00:31:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:31:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:31:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:41:24) | ===> btop++ v.1.4.0
2025/03/21 (00:41:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:41:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:41:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:51:46) | ===> btop++ v.1.4.0
2025/03/21 (00:51:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:51:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:51:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:57:41) | ===> btop++ v.1.4.0
2025/03/21 (00:57:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:57:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:57:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:59:27) | ===> btop++ v.1.4.0
2025/03/21 (01:59:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (01:59:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (01:59:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (12:22:36) | ===> btop++ v.1.4.0
2025/03/21 (12:22:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (12:22:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (12:22:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (13:43:12) | ===> btop++ v.1.4.0
2025/03/21 (13:43:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (13:43:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (13:43:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (13:50:45) | ===> btop++ v.1.4.0
2025/03/21 (13:50:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (13:50:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (13:50:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (05:02:42) | ===> btop++ v.1.4.0
2025/03/23 (05:02:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (05:02:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/23 (05:02:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (23:38:40) | ===> btop++ v.1.4.0
2025/03/24 (23:38:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (23:38:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/24 (23:38:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (23:59:27) | ===> btop++ v.1.4.0
2025/03/24 (23:59:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (23:59:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/24 (23:59:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (08:09:23) | ===> btop++ v.1.4.0
2025/03/25 (08:09:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (08:09:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (08:09:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (20:34:09) | ===> btop++ v.1.4.0
2025/03/26 (20:34:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (20:34:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (20:34:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (22:31:33) | ===> btop++ v.1.4.0
2025/03/26 (22:31:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (22:31:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (22:31:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (12:08:13) | ===> btop++ v.1.4.0
2025/03/28 (12:08:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (12:08:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (12:08:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (18:51:03) | ===> btop++ v.1.4.0
2025/03/28 (18:51:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
